size,time
1024.0,4.4588888499999975
2024.0,13.843923109999997
3024.0,26.89461509
4024.0,44.10025214
5024.0,127.19917633000003
6024.0,172.2143872100001
7024.0,271.47435622000006
8024.0,186.51620488000012
9024.0,233.88853004999999
10024.0,350.86526483000017
11024.0,454.45579815
12024.0,411.06271341
13024.0,463.6119605699998
14024.0,563.4327394899999
15024.0,689.7606108800002
16024.0,891.24581806
17024.0,1002.1813779800001
18024.0,1398.9282082699997
19024.0,1038.9956459000002
20024.0,2072.35409136
