size,time
1024.0,0.3527155100000002
2024.0,0.5844640149999998
3024.0,0.7887668200000002
4024.0,0.8388937849999997
5024.0,1.3186984700000008
6024.0,1.417366925
7024.0,1.4926809149999998
8024.0,1.9703065650000016
9024.0,1.9074394700000001
10024.0,2.1213536550000005
11024.0,2.4403057049999988
12024.0,2.7738711100000017
13024.0,3.107345709999999
14024.0,3.10654818
15024.0,3.493940629999999
16024.0,3.6214432300000006
17024.0,3.8014975849999986
18024.0,4.021515760000001
19024.0,4.280215539999999
20024.0,4.728926064999999
21024.0,5.009387945000003
22024.0,5.253274630000002
23024.0,5.429673554999998
24024.0,6.013275824999997
25024.0,6.171058205000004
26024.0,6.460095060000001
27024.0,6.967094024999995
28024.0,6.954140070000002
29024.0,7.355158334999998
30024.0,7.549602530000002
31024.0,7.775184139999998
32024.0,8.088001465000005
33024.0,8.3133052
34024.0,8.871104335000005
35024.0,9.258185335
36024.0,9.400605694999998
37024.0,9.27442865
38024.0,10.370932694999995
39024.0,10.757256539999997
40024.0,10.303193534999997
41024.0,10.72669741
42024.0,10.781094400000006
43024.0,11.519502379999995
44024.0,12.306619655000002
45024.0,11.883224605
46024.0,12.431936260000002
47024.0,13.406489924999999
48024.0,13.019073745
49024.0,13.228301685000005
50024.0,13.374040874999999
51024.0,14.004469304999992
52024.0,14.221386694999996
53024.0,14.560382884999997
54024.0,14.841868604999995
55024.0,15.939302850000008
56024.0,15.590605944999995
57024.0,16.25818936
58024.0,16.466601499999992
59024.0,17.26059087999999
60024.0,17.738968090000004
61024.0,17.642472975
62024.0,17.63194954500001
63024.0,18.41581500999999
64024.0,18.944099820000005
65024.0,17.69248121000001
66024.0,18.898184205000007
67024.0,19.444866195
68024.0,19.722091734999996
69024.0,20.699880439999998
70024.0,22.76380043
71024.0,20.482565010000002
72024.0,20.97268639
73024.0,23.353830740000006
74024.0,22.050214900000014
75024.0,21.567819139999997
76024.0,22.275197374999983
77024.0,23.155749285000002
78024.0,23.51451431
79024.0,23.178564594999994
80024.0,23.576181605000002
81024.0,23.870952229999993
82024.0,25.33250271499999
83024.0,24.582288999999992
84024.0,24.242618154999995
85024.0,25.199035839999983
86024.0,26.438454725000007
87024.0,27.242260875000014
88024.0,27.66041503000001
89024.0,28.95122360500001
90024.0,27.366046644999997
91024.0,26.890502200000004
92024.0,27.023780579999993
93024.0,26.99044317
94024.0,28.928176405
95024.0,28.94683767
96024.0,29.028114630000008
97024.0,29.474912915
98024.0,30.11872826
99024.0,31.25699522
100024.0,29.439119899999987
