size,time
1024.0,1.13024961
2024.0,1.7085153899999996
3024.0,1.8296975600000005
4024.0,1.8252753799999988
5024.0,2.2196992100000004
6024.0,2.337643679999999
7024.0,3.1041456099999993
8024.0,3.5861897199999997
9024.0,3.6916190399999977
10024.0,4.630707569999998
11024.0,4.411644289999999
12024.0,4.829891780000001
13024.0,5.31626587
14024.0,5.795122620000002
15024.0,6.26258706
16024.0,7.1868306099999995
17024.0,7.52041059
18024.0,7.775368309999997
19024.0,8.129402859999999
20024.0,8.4072567
21024.0,9.022744009999998
22024.0,9.342107499999997
23024.0,9.782963270000005
24024.0,10.25750661
25024.0,10.747529219999997
26024.0,11.34132448
27024.0,11.751830939999996
28024.0,12.157065880000003
29024.0,12.545444579999998
30024.0,13.076202900000004
31024.0,13.66292213
32024.0,14.249739029999995
33024.0,14.613461680000002
34024.0,14.878088029999994
35024.0,15.438229170000005
36024.0,15.931707519999998
37024.0,16.26112494
38024.0,16.95913993
39024.0,17.398411889999995
40024.0,18.60226099000001
41024.0,18.37738717000001
42024.0,19.13073715
43024.0,19.58717552
44024.0,20.077399319999994
45024.0,20.38311353
46024.0,20.988572029999997
47024.0,21.48981083
48024.0,21.920987039999996
49024.0,22.30754989
50024.0,23.020030080000005
51024.0,23.619055040000003
52024.0,24.084600490000003
53024.0,24.568957830000002
54024.0,25.03571856000001
55024.0,25.928624000000003
56024.0,26.05292957999999
57024.0,26.63642231000001
58024.0,26.95385843000001
59024.0,27.490656700000002
60024.0,27.919299149999993
61024.0,28.668766220000016
62024.0,29.011813710000002
63024.0,29.498336180000006
64024.0,30.310130550000004
65024.0,30.03501448
66024.0,30.61710485999999
67024.0,31.425010700000012
68024.0,31.8982888
69024.0,32.25951977000001
70024.0,32.96770639000001
71024.0,33.28430438000001
72024.0,34.30477839999999
73024.0,34.740952410000006
74024.0,35.165396220000005
75024.0,35.380344799999996
76024.0,35.52043969000001
77024.0,36.144693509999996
78024.0,37.528781329999994
79024.0,39.10479284999998
80024.0,39.91915186000001
81024.0,41.25804529
82024.0,40.7044385
83024.0,41.585988490000005
84024.0,41.25749019999999
85024.0,42.28328614
86024.0,42.708252470000005
87024.0,43.97232584999999
88024.0,44.67873307000001
89024.0,44.54327041999999
90024.0,46.08541569000002
91024.0,46.57452245000001
92024.0,45.59164179
93024.0,47.080639540000014
94024.0,46.964575360000005
95024.0,47.65763504
96024.0,49.901726030000006
97024.0,48.82147552000001
98024.0,49.44194149999999
99024.0,48.84028258
100024.0,50.48440155000003
