size,time
1024.0,1.0639742399999994
2024.0,2.659770839999999
3024.0,4.2579195400000005
4024.0,5.88497609
5024.0,9.282644939999997
6024.0,12.887758560000002
7024.0,17.033885289999997
8024.0,22.534994919999995
9024.0,28.30940203
10024.0,34.400798089999995
11024.0,41.90218803999999
12024.0,49.54577648999999
13024.0,58.118915940000015
14024.0,67.13491736999998
15024.0,76.94786485999998
16024.0,88.58796477
17024.0,100.13365713000006
18024.0,113.52795125000003
19024.0,126.35986258000004
20024.0,143.19178841000002
