size,time
1024.0,1.15335716
2024.0,1.4721026500000005
3024.0,2.6524586699999997
4024.0,3.27702151
5024.0,2.8873278099999995
6024.0,3.274764449999999
7024.0,3.9014393800000007
8024.0,4.362305330000001
9024.0,4.407090139999998
10024.0,4.87890676
11024.0,6.053422040000002
12024.0,5.869109539999998
13024.0,6.466735439999999
14024.0,6.962268650000002
15024.0,7.530789420000001
16024.0,8.077652900000002
17024.0,8.688763209999998
18024.0,9.186743830000005
19024.0,9.782325490000002
20024.0,10.37720896
21024.0,10.78223183
22024.0,11.297686170000002
23024.0,11.952760810000006
24024.0,12.360898779999998
25024.0,12.927739319999993
26024.0,13.423740560000004
27024.0,14.00918858
28024.0,14.752149690000003
29024.0,15.301486870000003
30024.0,15.927223259999998
31024.0,16.60149056
32024.0,16.925778230000002
33024.0,18.046261039999997
34024.0,18.396215610000002
35024.0,18.935478289999995
36024.0,20.075980200000007
37024.0,20.30341373
38024.0,20.949052660000003
39024.0,21.11210250000001
40024.0,21.65959597
41024.0,22.170978370000007
42024.0,23.096035610000005
43024.0,23.311894210000002
44024.0,23.961814029999996
45024.0,24.510926369999996
46024.0,24.846734440000006
47024.0,25.407526510000007
48024.0,26.27366026999999
49024.0,26.956251520000002
50024.0,27.744450570000005
51024.0,28.375232049999987
52024.0,28.88342758000001
53024.0,29.094005909999975
54024.0,29.685914129999993
55024.0,30.62458859
56024.0,30.98310210000001
57024.0,32.924721659999996
58024.0,32.94997658999998
59024.0,34.08227773000001
60024.0,34.581604299999995
61024.0,37.41237097999999
62024.0,34.80795724000001
63024.0,35.92628442999999
64024.0,37.44030713999999
65024.0,37.321070490000004
66024.0,39.80675920000001
67024.0,39.220611430000005
68024.0,38.43572299999998
69024.0,39.481961539999986
70024.0,39.13417033999998
71024.0,39.48314279999998
72024.0,40.656195870000005
73024.0,40.58933518
74024.0,41.80866347999999
75024.0,43.39288721
76024.0,43.439708819999986
77024.0,46.07231936
78024.0,45.53169778
79024.0,47.25644040000001
80024.0,46.66222015999999
81024.0,47.44997122000001
82024.0,48.430541360000014
83024.0,48.58669707
84024.0,49.67260823999995
85024.0,53.72524505999998
86024.0,52.124016000000005
87024.0,52.30747985000002
88024.0,54.77704468000002
89024.0,52.38406514999997
90024.0,53.789491999999974
91024.0,54.01657419999999
92024.0,54.08385104
93024.0,56.189318950000015
94024.0,55.92921953999999
95024.0,57.50368780999998
96024.0,58.03540387000004
97024.0,58.220797139999995
98024.0,58.84671914999999
99024.0,59.45127946
100024.0,59.87965004999999
